"CÔNG TY TNHH ASIANA GOLD","","","",""
"DDCK30610W","Dây cong khế 0.30,610W","15K","61.00%","BTPDAY15K"
"DDCK40610W","Dây cong khế 0.40,610W","15K","61.00%","BTPDAY15K"
"DDCK50610W","Dây cong khế 0.50,610W","15K","61.00%","BTPDAY15K"
"DDCK60610W","Dây cong khế 0.60,610W","15K","61.00%","BTPDAY15K"
"DDC30610Y","Dây chữ cong 0.30,610Y","15K","61.00%","BTPDAY15K"
"DDMV30610Y","Dây mì vuông 0.30,610Y","15K","61.00%","BTPDAY15K"
"DDC35610Y","Dây chữ cong 0.35,610Y","15K","61.00%","BTPDAY15K"
"DDC40610Y","Dây chữ cong 0.40,610Y","15K","61.00%","BTPDAY15K"
"DDC50610Y","Dây chữ cong 0.50,610Y","15K","61.00%","BTPDAY15K"
"DDC60610Y","Dây chữ cong 0.60,610Y","15K","61.00%","BTPDAY15K"
"DDC70610Y","Dây chữ cong 0.70,610Y","15K","61.00%","BTPDAY15K"
"DDCK30610Y","Dây cong khế 0.30,610Y","15K","61.00%","BTPDAY15K"
"DDCK35610Y","Dây cong khế 0.35,610Y","15K","61.00%","BTPDAY15K"
"DDCK40610Y","Dây cong khế 0.40,610Y","15K","61.00%","BTPDAY15K"
"DDCK50610Y","Dây cong khế 0.50,610Y","15K","61.00%","BTPDAY15K"
"DDCK60610Y","Dây cong khế 0.60,610Y","15K","61.00%","BTPDAY15K"
"DDCK70610Y","Dây cong khế 0.70,610Y","15K","61.00%","BTPDAY15K"
"DDL30610Y","Dây khoen lật 0.30,610Y","15K","61.00%","BTPDAY15K"
"DDL35610Y","Dây khoen lật 0.35,610Y","15K","61.00%","BTPDAY15K"
"DDL35416W","Dây khoen lật 0.35,416W","10K","41.60%","BTPDAY10K"
"DDL40610Y","Dây khoen lật 0.40,610Y","15K","61.00%","BTPDAY15K"
"DDLD40610Y","Dây lật đôi 0.40,610Y","15K","61.00%","BTPDAY15K"
"DDL50610Y","Dây khoen lật 0.50,610Y","15K","61.00%","BTPDAY15K"
"DDL60610Y","Dây khoen lật 0.60,610Y","15K","61.00%","BTPDAY15K"
"DDL70610Y","Dây khoen lật 0.70,610Y","15K","61.00%","BTPDAY15K"
"DDFV30610Y","Dây Franco vuông 0.30,610Y","15K","61.00%","BTPDAY15K"
"DDFV35610Y","Dây Franco vuông 0.35,610Y","15K","61.00%","BTPDAY15K"
"DDFV40610Y","Dây Franco vuông 0.40,610Y","15K","61.00%","BTPDAY15K"
"DDFV50610Y","Dây Franco vuông 0.50,610Y","15K","61.00%","BTPDAY15K"
"DDFT50610Y","Dây Franco tròn 0.50,610Y","15K","61.00%","BTPDAY15K"
"DDFV60610Y","Dây Franco vuông 0.60,610Y","15K","61.00%","BTPDAY15K"
"DDFV70610Y","Dây Franco vuông 0.70,610Y","15K","61.00%","BTPDAY15K"
"DDMD40610Y","Dây mì dẹp 0.40,610Y","15K","61.00%","BTPDAY15K"
"DDMD50610Y","Dây mì dẹp 0.50,610Y","15K","61.00%","BTPDAY15K"
"DDMD60610Y","Dây mì dẹp 0.60,610Y","15K","61.00%","BTPDAY15K"
"DDMX130610Y","Dây mì dẹp xoắn 0.30,610Y","15K","61.00%","BTPDAY15K"
"DDMX140610Y","Dây mì dẹp xoắn 0.40,610Y","15K","61.00%","BTPDAY15K"
"DDMX150610Y","Dây mì dẹp xoắn 0.50,610Y","15K","61.00%","BTPDAY15K"
"DDMX160610Y","Dây mì dẹp xoắn 0.60,610Y","15K","61.00%","BTPDAY15K"
"DDMT40610Y","Dây mì tròn 0.40,610Y","15K","61.00%","BTPDAY15K"
"DDL5024K","Dây khoen lật 0.50,24K","24K","99.99%","BTPDAY24K"
"DDFV30416W","Dây Franco vuông 0.30,416W","10K","41.60%","BTPDAY10K"
"DDFV35416W","Dây Franco vuông 0.35,416W","10K","41.60%","BTPDAY10K"
"DDC25416W","Dây chữ cong 0.25,416W","10K","41.60%","BTPDAY10K"
"DDC30416W","Dây chữ cong 0.30,416W","10K","41.60%","BTPDAY10K"
"DDC40416W","Dây chữ cong 0.40,416W","10K","41.60%","BTPDAY10K"
"DDC50416W","Dây chữ cong 0.50,416W","10K","41.60%","BTPDAY10K"
"DDCK30416W","Dây cong khế 0.30,416W","10K","41.60%","BTPDAY10K"
"DDCK40416W","Dây cong khế 0.40,416W","10K","41.60%","BTPDAY10K"
"DDCK50416W","Dây cong khế 0.50,416W","10K","41.60%","BTPDAY10K"
"DDL30416W","Dây khoen lật 0.30,416W","10K","41.60%","BTPDAY10K"
"DDL3035416W","Dây khoen lật 0.30, 0.35, 416W","10K","41.60%","BTPDAY10K"
"DDL60416W","Dây khoen lật 0.60,416W","10K","41.60%","BTPDAY10K"
"DDL70416W","Dây khoen lật 0.70,416W","10K","41.60%","BTPDAY10K"
"DDFV60416W","Dây Franco vuông 0.60,416W","10K","41.60%","BTPDAY10K"
"DDFV70416W","Dây Franco vuông 0.70,416W","10K","41.60%","BTPDAY10K"
"DDMX130416W","Dây mì dẹp xoắn 0.30,416W","10K","41.60%","BTPDAY10K"
"DDMX135416W","Dây mì dẹp xoắn 0.35,416W","10K","41.60%","BTPDAY10K"
"DDMV30416W","Dây mì vuông 0.30,416W","10K","41.60%","BTPDAY10K"
"DDC60708R","Dây chữ cong 0.60,708R","17K","70.80%","BTPDAY17K"
"DDC8023K","Dây chữ cong 0.80,23K","23K","95.83%","BTPDAY23K"
"DDCK8023K","Dây cong khế 0.80,23K","23K","95.83%","BTPDAY23K"
"C. BÁN THÀNH PHẨM BI","","","",""
"BI20750Y","Bi 2.0 trơn,750Y","18K","75.00%","BTPBI18K"
"BI25750Y","Bi 2.5 trơn,750Y","18K","75.00%","BTPBI18K"
"BI30750Y","Bi 3.0 trơn,750Y","18K","75.00%","BTPBI18K"
"BI35750Y","Bi 3.5 trơn,750Y","18K","75.00%","BTPBI18K"
"BI40750Y","Bi 4.0 trơn,750Y","18K","75.00%","BTPBI18K"
"BI50750Y","Bi 5.0 trơn,750Y","18K","75.00%","BTPBI18K"
"BI60750Y","Bi 6.0 trơn,750Y","18K","75.00%","BTPBI18K"
"BI80750Y","Bi 8.0 trơn,750Y","18K","75.00%","BTPBI18K"
"BICR20750Y","Bi 2.0 caro,750Y","18K","75.00%","BTPBI18K"
"BIX20750Y","Bi 2.0 xoáy,750Y","18K","75.00%","BTPBI18K"
"BIX25750Y","Bi 2.5 xoáy,750Y","18K","75.00%","BTPBI18K"
"BICR25750Y","Bi 2.5 caro,750Y","18K","75.00%","BTPBI18K"
"BICC25750Y","Bi 2.5 chữ C,750Y","18K","75.00%","BTPBI18K"
"BIX30750Y","Bi 3.0 xoáy,750Y","18K","75.00%","BTPBI18K"
"BICR30750Y","Bi 3.0 caro,750Y","18K","75.00%","BTPBI18K"
"BILD30750Y","Bi 3.0 lồng đèn,750Y","18K","75.00%","BTPBI18K"
"BIS30750Y","Bi 3.0 chữ S,750Y","18K","75.00%","BTPBI18K"
"BICR35750Y","Bi 3.5 caro,750Y","18K","75.00%","BTPBI18K"
"BILD40750Y","Bi 4.0 lồng đèn,750Y","18K","75.00%","BTPBI18K"
"BIHC40750Y","Bi 4.0 hỏa châu,750Y","18K","75.00%","BTPBI18K"
"BIN40750Y","Bi 4.0 nơ,750Y","18K","75.00%","BTPBI18K"
"BISN40750Y","Bi 4.0 sọc ngang,750Y","18K","75.00%","BTPBI18K"
"BICR40750Y","Bi 4.0 caro,750Y","18K","75.00%","BTPBI18K"
"BICR50750Y","Bi 5.0 caro,750Y","18K","75.00%","BTPBI18K"
"BIX40750Y","Bi 4.0 xoáy,750Y","18K","75.00%","BTPBI18K"
"BIM50750Y","Bi 5.0 Chữ M,750Y","18K","75.00%","BTPBI18K"
"BIS50750Y","Bi 5.0 chữ S,750Y","18K","75.00%","BTPBI18K"
"BIM60750Y","Bi 6.0 Chữ M,750Y","18K","75.00%","BTPBI18K"
"BIX60750Y","Bi 6.0 xoáy,750Y","18K","75.00%","BTPBI18K"
"BICR60750Y","Bi 6.0 caro,750Y","18K","75.00%","BTPBI18K"
"BISN60750Y","Bi 6.0 sọc ngang,750Y","18K","75.00%","BTPBI18K"
"BICR80750Y","Bi 8.0 caro,750Y","18K","75.00%","BTPBI18K"
"BIX80750Y","Bi 8.0 xoáy,750Y","18K","75.00%","BTPBI18K"
"BISN80750Y","Bi 8.0 sọc ngang,750Y","18K","75.00%","BTPBI18K"
"BI20750W","Bi 2.0 trơn,750W","18K","75.00%","BTPBI18K"
"BI25750W","Bi 2.5 trơn,750W","18K","75.00%","BTPBI18K"
"BI30750W","Bi 3.0 trơn,750W","18K","75.00%","BTPBI18K"
"BI35750W","Bi 3.5 trơn,750W","18K","75.00%","BTPBI18K"
"BI40750W","Bi 4.0 trơn,750W","18K","75.00%","BTPBI18K"
"BI50750W","Bi 5.0 trơn,750W","18K","75.00%","BTPBI18K"
"BI60750W","Bi 6.0 trơn,750W","18K","75.00%","BTPBI18K"
"BICR20750W","Bi 2.0 caro,750W","18K","75.00%","BTPBI18K"
"BICR25750W","Bi 2.5 caro,750W","18K","75.00%","BTPBI18K"
"BIX20750W","Bi 2.0 xoáy,750W","18K","75.00%","BTPBI18K"
"BIX25750W","Bi 2.5 xoáy,750W","18K","75.00%","BTPBI18K"
"BICC25750W","Bi 2.5 chữ C,750W","18K","75.00%","BTPBI18K"
"BIS30750W","Bi 3.0 chữ S,750W","18K","75.00%","BTPBI18K"
"BIS50750W","Bi 5.0 chữ S,750W","18K","75.00%","BTPBI18K"
"BICR30750W","Bi 3.0 caro,750W","18K","75.00%","BTPBI18K"
"BIX30750W","Bi 3.0 xoáy,750W","18K","75.00%","BTPBI18K"
"BICC30750W","Bi 3.0 chữ C,750W","18K","75.00%","BTPBI18K"
"BILD30750W","Bi 3.0 lồng đèn,750W","18K","75.00%","BTPBI18K"
"BICR35750W","Bi 3.5 caro,750W","18K","75.00%","BTPBI18K"
"BIX40750W","Bi 4.0 xoáy,750W","18K","75.00%","BTPBI18K"
"BICR40750W","Bi 4.0 caro,750W","18K","75.00%","BTPBI18K"
"BICC40750W","Bi 4.0 chữ C,750W","18K","75.00%","BTPBI18K"
"BISN40750W","Bi 4.0 sọc ngang,750W","18K","75.00%","BTPBI18K"
"BILD40750W","Bi 4.0 lồng đèn,750W","18K","75.00%","BTPBI18K"
"BIS40750W","Bi 4.0 chữ S,750W","18K","75.00%","BTPBI18K"
"BIM50750W","Bi 5.0 Chữ M,750W","18K","75.00%","BTPBI18K"
"BICR50750W","Bi 5.0 caro,750W","18K","75.00%","BTPBI18K"
"BIX50750W","Bi 5.0 xoáy,750W","18K","75.00%","BTPBI18K"
"BIDH50750W","Bi 5.0 dưa hấu,750W","18K","75.00%","BTPBI18K"
"BIX60750W","Bi 6.0 xoáy,750W","18K","75.00%","BTPBI18K"
"BIS60750W","Bi 6.0 chữ S,750W","18K","75.00%","BTPBI18K"
"BICR60750W","Bi 6.0 caro,750W","18K","75.00%","BTPBI18K"
"BISN60750W","Bi 6.0 sọc ngang,750W","18K","75.00%","BTPBI18K"
"BI80750W","Bi 8.0 trơn,750W","18K","75.00%","BTPBI18K"
"BIDH80750W","Bi 8.0 dưa hấu,750W","18K","75.00%","BTPBI18K"
"BIS80750W","Bi 8.0 chữ S,750W","18K","75.00%","BTPBI18K"
"BI20750R","Bi 2.0 trơn,750R","18K","75.00%","BTPBI18K"
"BI30750R","Bi 3.0 trơn,750R","18K","75.00%","BTPBI18K"
"BI40750R","Bi 4.0 trơn,750R","18K","75.00%","BTPBI18K"
"BICR30750R","Bi 3.0 caro,750R","18K","75.00%","BTPBI18K"
"BI25680Y","Bi 2.5 trơn,680Y","16K","68.00%","BTPBI16K"
"BI30680Y","Bi 3.0 trơn,680Y","16K","68.00%","BTPBI16K"
"BI40680Y","Bi 4.0 trơn,680Y","16K","68.00%","BTPBI16K"
"BI50680Y","Bi 5.0 trơn,680Y","16K","68.00%","BTPBI16K"
"BI60680Y","Bi 6.0 trơn,680Y","16K","68.00%","BTPBI16K"
"BI80680Y","Bi 8.0 trơn,680Y","16K","68.00%","BTPBI16K"
"BICR25680Y","Bi 2.5 caro,680Y","16K","68.00%","BTPBI16K"
"BIX25680Y","Bi 2.5 xoáy,680Y","16K","68.00%","BTPBI16K"
"BIX30680Y","Bi 3.0 xoáy,680Y","16K","68.00%","BTPBI16K"
"BICR30680Y","Bi 3.0 caro,680Y","16K","68.00%","BTPBI16K"
"BILD30680Y","Bi 3.0 lồng đèn,680Y","16K","68.00%","BTPBI16K"
"BIS30680Y","Bi 3.0 chữ S,680Y","16K","68.00%","BTPBI16K"
"BICR40680Y","Bi 4.0 caro,680Y","16K","68.00%","BTPBI16K"
"BIX40680Y","Bi 4.0 xoáy,680Y","16K","68.00%","BTPBI16K"
"BIDH40680Y","Bi 4.0 dưa hấu,680Y","16K","68.00%","BTPBI16K"
"BIS40680Y","Bi 4.0 chữ S,680Y","16K","68.00%","BTPBI16K"
"BICR50680Y","Bi 5.0 caro,680Y","16K","68.00%","BTPBI16K"
"BIS50680Y","Bi 5.0 chữ S,680Y","16K","68.00%","BTPBI16K"
"BIX50680Y","Bi 5.0 xoáy,680Y","16K","68.00%","BTPBI16K"
"BIDH50680Y","Bi 5.0 dưa hấu,680Y","16K","68.00%","BTPBI16K"
"BICR60680Y","Bi 6.0 caro,680Y","16K","68.00%","BTPBI16K"
"BIDH60680Y","Bi 6.0 dưa hấu,680Y","16K","68.00%","BTPBI16K"
"BIS60680Y","Bi 6.0 chữ S,680Y","16K","68.00%","BTPBI16K"
"BISN60680Y","Bi 6.0 sọc ngang,680Y","16K","68.00%","BTPBI16K"
"BICR80680Y","Bi 8.0 caro,680Y","16K","68.00%","BTPBI16K"
"BIDH80680Y","Bi 8.0 dưa hấu,680Y","16K","68.00%","BTPBI16K"
"BI25610Y","Bi 2.5 trơn,610Y","15K","61.00%","BTPBI15K"
"BI30610Y","Bi 3.0 trơn,610Y","15K","61.00%","BTPBI15K"
"BI40610Y","Bi 4.0 trơn,610Y","15K","61.00%","BTPBI15K"
"BI60610Y","Bi 6.0 trơn,610Y","15K","61.00%","BTPBI15K"
"BI80610Y","Bi 8.0 trơn,610Y","15K","61.00%","BTPBI15K"
"BICR25610Y","Bi 2.5 caro,610Y","15K","61.00%","BTPBI15K"
"BIX25610Y","Bi 2.5 xoáy,610Y","15K","61.00%","BTPBI15K"
"BIX30610Y","Bi 3.0 xoáy,610Y","15K","61.00%","BTPBI15K"
"BICR30610Y","Bi 3.0 caro,610Y","15K","61.00%","BTPBI15K"
"BILD30610Y","Bi 3.0 lồng đèn,610Y","15K","61.00%","BTPBI15K"
"BICR40610Y","Bi 4.0 caro,610Y","15K","61.00%","BTPBI15K"
"BIX40610Y","Bi 4.0 xoáy,610Y","15K","61.00%","BTPBI15K"
"BIMT40610Y","Bi 4.0 mũi tên,610Y","15K","61.00%","BTPBI15K"
"BILD40610Y","Bi 4.0 lồng đèn,610Y","15K","61.00%","BTPBI15K"
"BISN40610Y","Bi 4.0 sọc ngang,610Y","15K","61.00%","BTPBI15K"
"BIS30610Y","Bi 3.0 chữ S,610Y","15K","61.00%","BTPBI15K"
"BIS40610Y","Bi 4.0 chữ S,610Y","15K","61.00%","BTPBI15K"
"BIS60610Y","Bi 6.0 chữ S,610Y","15K","61.00%","BTPBI15K"
"BIDH40610Y","Bi 4.0 dưa hấu,610Y","15K","61.00%","BTPBI15K"
"BICR60610Y","Bi 6.0 caro,610Y","15K","61.00%","BTPBI15K"
"BIX60610Y","Bi 6.0 xoáy,610Y","15K","61.00%","BTPBI15K"
"BISN60610Y","Bi 6.0 sọc ngang,610Y","15K","61.00%","BTPBI15K"
"BIDH60610Y","Bi 6.0 dưa hấu,610Y","15K","61.00%","BTPBI15K"
"BIDH80610Y","Bi 8.0 dưa hấu,610Y","15K","61.00%","BTPBI15K"
"BISN80610Y","Bi 8.0 sọc ngang,610Y","15K","61.00%","BTPBI15K"
"BICR80610Y","Bi 8.0 caro,610Y","15K","61.00%","BTPBI15K"
"BI20416W","Bi 2.0 trơn,416W","10K","41.60%","BTPBI10K"
"BICR20416W","Bi 2.0 caro,416W","10K","41.60%","BTPBI10K"
"BI25416W","Bi 2.5 trơn,416W","10K","41.60%","BTPBI10K"
"BICR25416W","Bi 2.5 caro,416W","10K","41.60%","BTPBI10K"
"BI30416W","Bi 3.0 trơn,416W","10K","41.60%","BTPBI10K"
"BIX30416W","Bi 3.0 xoáy,416W","10K","41.60%","BTPBI10K"
"BI40416W","Bi 4.0 trơn,416W","10K","41.60%","BTPBI10K"
"BIS40416W","Bi 4.0 chữ S,416W","10K","41.60%","BTPBI10K"
"BI45416W","Bi 4.5 trơn,416W","10K","41.60%","BTPBI10K"
"BI50416W","Bi 5.0 trơn,416W","10K","41.60%","BTPBI10K"
"BIS50416W","Bi 5.0 chữ S,416W","10K","41.60%","BTPBI10K"
"BI60416W","Bi 6.0 trơn,416W","10K","41.60%","BTPBI10K"
"BIS60416W","Bi 6.0 chữ S,416W","10K","41.60%","BTPBI10K"
"D. PHỤ KIỆN","","","",""
"PKKT750Y","Phụ kiện khóa tròn,750Y","18K","75.00%","PK18K"
"PKKGN750Y","Phụ kiện khóa giọt nước,750Y","18K","75.00%","PK18K"
"PKKCC750Y","Phụ kiện khóa càng cua,750Y","18K","75.00%","PK18K"
"PKCKH750Y","Phụ kiện chỉ làm khoen,750Y","18K","75.00%","PK18K"
"PKBK750Y","Phụ kiện bông khoen đầu,750Y","18K","75.00%","PK18K"
"PKBSD750Y","Phụ kiện bass dẹp,750Y","18K","75.00%","PK18K"
"PKCOK750Y","Phụ kiện cò khóa,750Y","18K","75.00%","PK18K"
"PKLL750Y","Phụ kiện lưỡi lam,750Y","18K","75.00%","PK18K"
"PKCKH750W","Phụ kiện chỉ làm khoen,750W","18K","75.00%","PK18K"
"PKBSD750W","Phụ kiện bass dẹp,750W","18K","75.00%","PK18K"
"PKBST750W","Phụ kiện Bas tròn,750W","18K","75.00%","PK18K"
"PKCOK750W","Phụ kiện cò khóa,750W","18K","75.00%","PK18K"
"PKKGN750W","Phụ kiện khóa giọt nước,750W","18K","75.00%","PK18K"
"PKLL750W","Phụ kiện lưỡi lam,750W","18K","75.00%","PK18K"
"PKKCC750W","Phụ kiện khóa càng cua,750W","18K","75.00%","PK18K"
"PKCHA750W","Phụ kiện Charm,750W","18K","75.00%","PK18K"
"PKTT750W","Phụ kiện tòn ten,750W","18K","75.00%","PK18K"
"PKCKH750R","Phụ kiện chỉ làm khoen,750R","18K","75.00%","PK18K"
"PKKGN750R","Phụ kiện khóa giọt nước,750R","18K","75.00%","PK18K"
"PKCHA750R","Phụ kiện Charm, 750R","18K","75.00%","PK18K"
"PKKGN680Y","Phụ kiện khóa giọt nước,680Y","16K","68.00%","PK16K"
"PKCOK680Y","Phụ kiện cò khóa,680Y","16K","68.00%","PK16K"
"PKBSD680Y","Phụ kiện bass dẹp,680Y","16K","68.00%","PK16K"
"PKLL680Y","Phụ kiện lưỡi lam,680Y","16K","68.00%","PK16K"
"PKCKH680Y","Phụ kiện chỉ làm khoen,680Y","16K","68.00%","PK16K"
"PKTT680Y","Phụ kiện tòn ten,680Y","16K","68.00%","PK16K"
"PKCHA680Y","Phụ kiện Charm,680Y","16K","68.00%","PK16K"
"PKBST680Y","Phụ kiện Bas tròn,680Y","16K","68.00%","PK16K"
"PKBSD610Y","Phụ kiện bass dẹp,610Y","15K","61.00%","PK15K"
"PKBST610Y","Phụ kiện Bas tròn,610Y","15K","61.00%","PK15K"
"PKCKH610Y","Phụ kiện chỉ làm khoen,610Y","15K","61.00%","PK15K"
"PKKT610Y","Phụ kiện khóa tròn,610Y","15K","61.00%","PK15K"
"PKKGN610Y","Phụ kiện khóa giọt nước,610Y","15K","61.00%","PK15K"
"PKKCC610Y","Phụ kiện khóa càng cua,610Y","15K","61.00%","PK15K"
"PKCOK610Y","Phụ kiện cò khóa,610Y","15K","61.00%","PK15K"
"PKLL610Y","Phụ kiện lưỡi lam,610Y","15K","61.00%","PK15K"
"PKTT610Y","Phụ kiện tòn ten,610Y","15K","61.00%","PK15K"
"PKCHA610Y","Phụ kiện Charm,610Y","15K","61.00%","PK15K"
"PKBSD610W","Phụ kiện bass dẹp,610W","15K","61.00%","PK15K"
"PKCKH610W","Phụ kiện chỉ làm khoen,610W","15K","61.00%","PK15K"
"PKKGN610W","Phụ kiện khóa giọt nước,610W","15K","61.00%","PK15K"
"PKCOK610W","Phụ kiện cò khóa,610W","15K","61.00%","PK15K"
"PKBSD24K","Phụ kiện bass dẹp,24K","24K","99.99%","PK24K"
"PKKGN416W","Phụ kiện khóa giọt nước,416W","10K","41.60%","PK10K"
"PKCOK416W","Phụ kiện cò khóa,416W","10K","41.60%","PK10K"
"PKBSD416W","Phụ kiện bass dẹp,416W","10K","41.60%","PK10K"
"PKLL416W","Phụ kiện lưỡi lam,416W","10K","41.60%","PK10K"
"PKCKH416W","Phụ kiện chỉ làm khoen,416W","10K","41.60%","PK10K"
"E. NGUYÊN LIỆU VÀNG","","","",""
"NL750Y","Nguyên liệu vàng 750 vàng","18K","75.00%","NL18K"
"NL750W","Nguyên liệu vàng 750 trắng","18K","75.00%","NL18K"
"NL750R","Nguyên liệu vàng 750 hồng","18K","75.00%","NL18K"
"NL680Y","Nguyên liệu vàng 680 vàng","16K","68.00%","NL16K"
"NL610Y","Nguyên liệu vàng 610 vàng","15K","61.00%","NL15K"
"NL610W","Nguyên liệu vàng 610 trắng","15K","61.00%","NL15K"
"NL416W","Nguyên liệu vàng 416 trắng","10K","41.60%","NL10K"
"NL708R","Nguyên liệu vàng 708 hồng","17K","70.80%","NL17K"
"NL50Y","Nguyên liệu vàng","50K","50.00%","NL50K"
"NL24K","Nguyên liệu vàng 24K","24K","99.99%","NL24K"
"NL23K","Nguyên liệu Vàng 23K","23K","95.83%","NL23K"
"NL99","NL99","99","99.00%","NL99"
"NL999","NL999","999","99.90%","NL999"
"NLVAYHAN750Y","Nguyên liệu Vảy hàn vàng 750 vàng","18K","75.00%","VAYHAN18K"
"NLVAYHAN680Y","Nguyên liệu Vảy hàn vàng 680 vàng","16K","68.00%","VAYHAN16K"
"NLVAYHAN610Y","Nguyên liệu Vảy hàn vàng 610 vàng","15K","61.00%","VAYHAN15K"
"NLVAYHAN610W","Nguyên liệu Vảy hàn vàng 610 trắng","15K","61.00%","VAYHAN15K"
"NLBOT750Y","Nguyên liệu Bột vàng 750 vàng","18K","75.00%","BOT18K"
"NLBOT750W","Nguyên liệu Bột vàng 750 trắng","18K","75.00%","BOT18K"
"NLBOT750R","Nguyên liệu Bột vàng 750 hồng","18K","75.00%","BOT18K"
"NLBOT680Y","Nguyên liệu Bột vàng 680 vàng","16K","68.00%","BOT16K"
"NLBOT610Y","Nguyên liệu Bột vàng 610 vàng","15K","61.00%","BOT15K"
"NLBOT610W","Nguyên liệu Bột vàng 610 trắng","15K","61.00%","BOT15K"
"NLBOT416W","Nguyên liệu Bột vàng 416 trắng","10K","41.60%","BOT10K"
"NLBOT24K","Nguyên liệu Bột vàng 24K","24K","99.99%","BOT24K"
"NLBOT23K","Nguyên liệu Bột Vàng 23K","23K","95.83%","BOT23K"
"NLBOT708R","Nguyên liệu Bột vàng 708 hồng","17K","70.80%","BOT17K"
"II. Hội","","","",""
"S530","Hội chế vẩy vàng vàng","S530","",""
"H330A","Hội chế vẩy hàn Bạc","H330A","",""
"HY88-3555","Hội chế vàng làm tay 75%","HY88-3555","",""
"DUCTRANG","Hội chế vàng trắng 75%","DUCTRANG","",""
"CW918","Hội chế vàng trắng 75%","CW918","",""
"CY1418","Hội chế vàng vàng 61%, 75%","CY1418","",""
"HH0589","Hội chế vàng vàng 61%-75%","HH0589","",""
"HH0327","Hội chế vàng trắng 75%","HH0327","",""
"HOICAY","Hội cây","HOICAY","",""
"HOICAYGOC","Hội cây gốc","HOICAYGOC","",""
"HH610Y","Hội chế vẩy hàn 610KV","HH610Y","",""
"HH3%B","Hỗn hợp 3% Bạc-18KH","HH3%B","",""
"HH20%AG","Hỗn hợp 20% Bạc","HH20%AG","",""
"HH20%AG.01","Hỗn hợp 20% Bạc.01-18KV","HH20%AG.01","",""
"HH25%AG","Hỗn hợp 25% Bạc","HH25%AG","",""
"H9570A","Hội chế vàng trắng , làm bi","H9570A","",""
"HW88-N21H","Hội chế vàng trắng , làm dây","HW88-N21H","",""
"HW88-N16H","Hội chế vàng trắng , làm dây","HW88-N16H","",""
"H534","Hội chế vàng hồng","H534","",""
"H-800","Hội chế vàng trắng","H-800","",""
"PD","Hội chế PT9999","PD","",""
"PD999","Hội chế PT9999","PD999","",""
"PD99","Hội chế PT9999","PD99","",""
"Zn","Kẽm","Zn","",""
"Cu","Đồng bi","Cu","",""
"HH40%AG","Hỗn hợp 40% Bạc","HH40%AG","",""
"HH70%AG","Hỗn hợp 70% Bạc","HH70%AG","",""
"HOI610W","Hội chế 610W","HOI610W","",""
"HHT22","Hội HT22","HHT22","",""
"S57NA","Hội chế bạc Nhiêu Tâm","S57NA","",""
"S925GT","Hội chế bạc IBC","S925GT","",""
"SG204","Hội chế bạc của Oroly","SG204","",""
"H22C","Hội chế bạc 22C của tiệm Tài","H22C","",""
"H52C","Hội chế bạc 52C của tiệm Tài","H52C","",""
"H1M","Hội chế bạc 1 màu","H1M","",""
"H2M","Hội chế bạc 2 màu","H2M","",""
"H449","Hội chế bạc của Otec","H449","",""
"LIENHUNG","Hội chế bạc của Liên Hưng","LIENHUNG","",""
"EKT60","Hội chế bạc của Đô Thị Vàng","EKT60","",""
"III. NGUYÊN VẬT LIỆU BẠC","","","",""
"BACNTO","Bạc 99.99 NTO","BACNTO","99.99%","BACNTO"
"BAC9999","Bạc9999","BAC9999","99.99%","NLBAC9999"
"BAC999","BAC999","BAC999","99.90%","NLBAC999"
"BACPK","Bạc phân kim","BACPK","","NLBACPK"
"BAC950","Bạc 950","BAC950","95.00%","NLBAC950"
"BAC92.5","Bạc 92.5","BAC92.5","92.50%","NLBAC92.5"
"NLBOTBAC92.5","Nguyên liệu bột Bạc 92.5","BAC92.5","92.50%","BOTBAC92.5"
"NLVAYHANBAC900","Nguyên liệu vày hàn bạc","BAC92.5","92.50%","VAYHANBAC92.5"
"BI80BAC92.5","Bi bạc 8.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BI60BAC92.5","Bi bạc 6.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BI50BAC92.5","Bi bạc 5.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BI40BAC92.5","Bi bạc 4.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BI30BAC92.5","Bi bạc 3.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BIS30BAC92.5","Bi chữ S 3.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BIX30BAC92.5","Bi xoáy 3.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BIS40BAC92.5","Bi chữ S 4.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BIS60BAC92.5","Bi chữ S 6.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BI25BAC92.5","Bi bạc 2.5","BAC92.5","92.50%","BTPBIBAC92.5"
"BICR30BAC92.5","Bi caro 3.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BICR60BAC92.5","Bi caro 6.0","BAC92.5","92.50%","BTPBIBAC92.5"
"BIS80BAC92.5","Bi 8.0 chữ S","BAC92.5","92.50%","BTPBIBAC92.5"
"PKKGNBAC92.5","Phụ kiện khóa giọt nước,BAC92.5","BAC92.5","92.50%","PKBAC92.5"
