"","Công ty TNHH ASIANA GOLD","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","NHẬT KÝ SẢN XUẤT","","","","","","","","","","","","","",""
"","","","","","","","Từ ngày:","1/7/2023","Đến ngày","10/07/2026","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","0.00","0.00","0.00","","","","",""
"NGÀY PHÁT SINH","N/X","SỐ CHỨNG TỪ","","MÃ THỢ","TÊN THỢ/NGƯỜI NHẬN","LỆNH 
SẢN XUẤT","MÃ 
CÔNG ĐOẠN","MÃ 
HÀNG","TÊN HÀNG","LOẠI 
VÀNG","ĐƠN VỊ 
TÍNH","DIỄN GIẢI","NHẬP VỀ KCP","KCP XUẤT THỢ","SPHT ĐẠT QC","","TỔNG HAO HỤT","TỈ LỆ HAO HỤT ĐỊNH MỨC","HAO HỤT ĐỊNH MỨC","HAO HỤT VƯỢT","GHI CHÚ"
"","","NHẬP","XUẤT","","","","","","","","","","","","ĐẠT","LỖI","","","","",""
"1","2","3","4","5","6","7","8","9","10","11","0","12","13","14","15","16","17","18","19","20","21"
"#REF!","","","","","","","","","","","","","","","","","","","","",""
"#REF!","","","","","","","","","","","","","","","","","","","","",""
"#REF!","","","","","","","","","","","","","","","","","","","","",""
"#REF!","","","","","","","","","","","","","","","","","","","","",""
"#REF!","","","","","","","","","","","","","","","","","","","","",""